CE,sigla,top,edicoes,nome,h5,NIVEL,sigla2
CE-LP,SAS,Top 20,NA,IEEE Sensors Applications Symposium,NA,A6,SAS
CE-TF,SAST,Top 20,8,Brazilian Symposium on Systematic and Automated Software Testing,NA,A6,SAST
GI-L,SAT,TOP 20,NA,International Conference on Theory and Applications of Satisfiability Testing,21,A3,SAT
CE-ACPAD,SBAC-PAD,Top 10,35,International Symposium on Computer Architecture and High Performance Computing,14,A3,SBAC-PAD
CE-RV,SBAI,Eventos da Área,NA,Simpósio Brasileiro de Automação Inteligente,4,A8,SBAI
CE-R,SBAI*,Eventos da Área,NA,Simpósio Brasileiro de Automação Inteligente,NA,A8,SBAI*
CE-Geoinformática,SBBD,Top 20,38,Simpósio Brasileiro de Banco de Dados,8,A4,SBBD
CE-ES,SBCARS,Top 10,17,"Brazilian Symposium on Components, Architectures and Reuse Software",NA,A5,SBCARS
CE-CAS,SBCAS,Top 20,24,Simpósio Brasileiro de Computação Aplicada à Saúde,7,A4,SBCAS
CE-CCI,SBCCI,Top 20,33,Symposium on Integrated Circuits and Systems Design,10,A4,SBCCI
CE-CM,SBCM,Top 10,18,Simpósio Brasileiro de Computação Musical,6,A5,SBCM
CE-WEBMEDIA,SBCUP,Eventos da Área,16,Simpósio Brasileiro de Computação Ubíqua e Pervasiva,4,A5,SBCUP
CE-ES,SBES,Top 10,37,Brazilian Symposium on Software Engineering,23,A3,SBES
CE-ESC,SBESC,Top 10,13,Brazilian Symposium on Computing Systems Engineering,10,A4,SBESC
CE-JOGOS,SBGames,Top 10,22,Simpósio Brasileiro de Jogos e Entretenimento Digital,NA,A4,SBGAMES
CE-JOGOS,SBGames*,Top 20,NA,Anais Estendidos do Simpósio Brasileiro de Jogos e Entretenimento Digital,10,A5,SBGAMES*
CE-IE,SBIE,Top 10,34,Simpósio Brasileiro de Informática na Educação,16,A3,SBIE
CE-LP,SBLP,Top 10,27,Brazilian Symposium on Programming Languages,NA,A4,SBLP
CE-MF,SBMF,Top 10,26,Brazilian Symposium on Formal Methods,NA,A4,SBMF
CE-CCI,SBMicro,Eventos da Área,NA,Symposium on Microelectronics Technology and Devices,NA,A8,SBMICRO
CE-ACO,SBPO,Eventos da Área,NA,Simpósio Brasileiro de Pesquisa Operacional,NA,A8,SBPO
CE-ES,SBQS,Top 10,22,Simpósio Brasileiro de Qualidade de Software,12,A3,SBQS
CE-GRAPI,SBR,Eventos da Área,14,Brazilian Symposium on Robotics,NA,A5,SBR
CE-R,SBR/LARS,Top 20,NA,Latin American Robotics Symposium,NA,A6,SBR/LARS
CE-RESD,SBRC,Top 20,41,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,8,A4,SBRC
CE-SC,SBSC,Top 10,19,Simpósio Brasileiro de Sistemas Colaborativos,NA,A5,SBSC
CE-SI,SBSI,Top 10,19,Simpósio Brasileiro de Sistemas de Informação,11,A4,SBSI
CE-Geoinformática,SBSR,Top 20,NA,Simpósio Brasileiro de Sensoriamento Remoto,NA,A6,SBSR
CE-SEG,SBSeg,Top 20,23,Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais,6,A4,SBSEG
CE-SI,SBTI,Eventos da Área,NA,Simpósio Brasileiro de Tecnologia da Informação,NA,A8,SBTI
CE-RESD,SBrT,Eventos da Área,NA,Simpósio Brasileiro de Telecomunicações e Processamento de Sinais,NA,A8,SBRT
CE-ACPAD,SC,Top 10,NA,"International Conference for High Performance Computing, Networking, Storage and Analysis",50,A1,SC
CE-GRAPI,SCA,Top 20,NA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,NA,A6,SCA
CE-ES,SCAM,Top 20,NA,IEEE International Working Conference on Source Code Analysis and Manipulation,16,A3,SCAM
CE-LP,SCOPES,Eventos da Área,NA,Software and Compilers for Embedded Systems,NA,A8,SCOPES
CE-IA,SCS,Eventos da Área,NA,Symposium on Combinatorial Search,21,A3,SCS
CE-IC,SDM,Top 20,NA,SIAM International Conference on Data Mining,37,A1,SDM
CE-Geoinformática,SDSS,Top 10,NA,Spatial Data Science Symposium,NA,A5,SDSS
CE-ACO,SEA,Top 20,NA,International Symposium on Experimental Algorithms,16,A3,SEA
CE-ES,SEAA,Eventos da Área,NA,Euromicro Conference on Software Engineering and Advanced Applications,25,A2,SEAA
CE-ES,SEAMS,Eventos da Área,NA,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,21,A3,SEAMS
CE-SEG,SEC,Eventos da Área,NA,International Conference on ICT Systems Security and Privacy Protection,18,A4,SEC
CE-RESD,SECON,Eventos da Área,NA,"IEEE International Conference on Sensing, Communication and Networking",27,A2,SECON
CE-SEG,SECRYPT,Eventos da Área,NA,International Conference on Security and Cryptography,13,A5,SECRYPT
CE-MF,SEFM,Top 10,NA,International Conference on Software Engineering and Formal Methods,17,A3,SEFM
CE-ES,SEH,Eventos da Área,NA,International Workshop on Software Engineering in Healthcare,NA,A8,SEH
CE-ES,SEKE,Eventos da Área,NA,International Conference on Software Engineering and Knowledge Engineering,14,A5,SEKE
CE-PLN,SEMEVAL,Top 20,NA,International Workshop on Semantic Evaluation,46,A1,SEMEVAL
CE-IHC,SEMISH,Eventos da Área,51,Seminário Integrado de Software e Hardware,5,A4,SEMISH
CE-CCI,SENSORNETS,Eventos da Área,NA,International Conference on Sensor Networks,9,A6,SENSORNETS
CE-ES,SER&IP,Eventos da Área,NA,IEEE/ACM International Workshop on Software Engineering Research and Industrial Practice,NA,A8,SER&IP
CE-ES,SESoS,Eventos da Área,NA,International Workshop on Software Engineering for Systems-of-Systems,NA,A8,SESOS
CE-RV,SI3D,Top 20,NA,Symposium on Interactive 3D Graphics and Games,NA,A6,SI3D
CE-GRAPI,SIBGRAPI,Top 10,36,"Conference on Graphics, Patterns and Images",25,A2,SIBGRAPI
CE-ESC,SIES,Eventos da Área,NA,International Symposium on Industrial Embedded Systems,0,NA,SIES
CE-RESD,SIGCOMM,Top 10,NA,ACM SIGCOMM Conference,64,A1,SIGCOMM
CE-RV,SIGCSE,Eventos da Área,NA,ACM Technical Symposium on Computer Science Education,47,A1,SIGCSE
CE-PLN,SIGDIAL,Eventos da Área,NA,Annual Meeting of the Special Interest Group on Discourse and Dialogue,31,A2,SIGDIAL
CE-IHC,SIGDOC,Eventos da Área,NA,ACM International Conference on Design of Communication,12,A5,SIGDOC
CE-GRAPI,SIGGRAPH,Top 10,NA,International Conference and Exibition on Computer Graphics and Interactive Techniques,23,A3,SIGGRAPH
CE-GRAPI,SIGGRAPH Asia,Top 10,NA,ACM International Conference On Computer Graphics & Interactive Techniques / Asia,37,A1,SIGGRAPH ASIA
CE-PLN,SIGIR,Eventos da Área,NA,International ACM SIGIR Conference on Research and Development in Information Retrieval,123,A1,SIGIR
CE-ACPAD,SIGKDD,Eventos da Área,NA,ACM International Conference on Knowledge Discovery and Data Mining,129,A1,SIGKDD
CE-RESD,SIGMETRICS,Eventos da Área,NA,International Conference on Measurement and Modeling of Computer Systems,41,A1,SIGMETRICS
CE-BD,SIGMOD,Top 10,NA,ACM Conference on Management of Data,74,A1,SIGMOD
CE-Geoinformática,SIGSPATIAL,Top 10,NA,ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,27,A2,SIGSPATIAL
CE-R,SII,Eventos da Área,NA,IEEE/SICE International Symposium on System Integration,20,A3,SII
CE-BD,SIMBig,Eventos da Área,NA,Annual International Symposium on Information Management and Big Data,8,A7,SIMBIG
CE-R,SIMPAR*,Eventos da Área,NA,"IEEE International Conference on Simulation, Modeling, and Programming for Autonomous Robots",NA,A8,SIMPAR*
CE-GRAPI,SIPAIM,Eventos da Área,NA,International Symposium on Medical Information Processing and Analysis,13,A5,SIPAIM
CE-BD,SISAP,Eventos da Área,NA,nternational Conference on Similarity Search and Applications,NA,A8,SISAP
CE-LP,SLE,Top 20,NA,ACM SIGPLAN International Conference on Software Language Engineering,12,A4,SLE
CE-SI,SMC,Top 20,NA,"IEEE International Conference on Systems, Man and Cybernetics",36,A1,SMC
CE-BD,SNAA,Eventos da Área,NA,Workshop on Social Network Analysis in Applications,NA,A8,SNAA
CE-SI,SOCINFO,Eventos da Área,NA,International Conference on Social Informatics,NA,A8,SOCINFO
CE-ACO,SODA,Top 10,NA,ACM-SIAM Symposium on Discrete Algorithms,57,A1,SODA
CE-ACO,SOFSEM,Eventos da Área,NA,International Conference on Current Trends in Theory and Practice of Computer Science,NA,A8,SOFSEM
CE-ACO,SOSA,Eventos da Área,NA,SIAM Symposium on Simplicity in Algorithms,NA,A8,SOSA
CE-RESD,SOSP,Eventos da Área,NA,ACM Symposium on Operating Systems Principles,NA,A8,SOSP
CE-RESD,SOSR,Eventos da Área,NA,Symposium on Software Defined Networking Research,NA,A8,SOSR
CE-SEG,SOUPS,Top 20,NA,Symposium On Usable Privacy and Security,38,A1,SOUPS
CE-ACPAD,SPAA,Top 20,NA,ACM Symposium on Parallelism in Algorithms and Architectures,24,A3,SPAA
CE-GRAPI,SPIE Conferences,Eventos da Área,NA,Proceedings of Spie--the International Society for Optical Engineering,26,A2,SPIE CONFERENCES
CE-BD,SPIRE,Eventos da Área,NA,International Symposium on String Processing and Information Retrieval,13,A5,SPIRE
CE-ES,SPLC,Eventos da Área,NA,International Software Product Line Conference,25,A2,SPLC
CE-TF,SRDS,Top 10,NA,IEEE Symposium on Reliable Distributed Systems,20,A3,SRDS
CE-ES,SSBSE,Eventos da Área,NA,International Symposium on Search Based Software Engineering,NA,A8,SSBSE
CE-ACPAD,SSCAD,Top 10,24,Simpósio em Sistemas Computacionais de Alto Desempenho,NA,A4,SSCAD
CE-SEG,SSCC,Eventos da Área,NA,International Symposium on Security in Computing and Communications,NA,A8,SSCC
CE-IC,SSCI,Eventos da Área,NA,IEEE Symposium Series on Computational Intelligence,33,A2,SSCI
CE-Geoinformática,SSDBM,Top 10,NA,International Conference on Scientific and Statistical Database Management,15,A3,SSDBM
CE-SI,SSE,Eventos da Área,NA,IEEE International Conference on Software Services Engineering (IEEE SSE),NA,A8,SSE
CE-R,SSRR,Top 20,NA,"International Symposium on Safety, Security and Rescue Robotics",20,A3,SSRR
CE-Geoinformática,SSTD,Top 20,NA,International Symposium on Spatial and Temporal Databases,NA,A6,SSTD
CE-ACO,STACS,Top 10,NA,Symposium on Theoretical Aspects of Computer Science,24,A3,STACS
CE-PLN,STIL,Top 10,14,Brazilian Symposium in Information and Human Language Technology,NA,A5,STIL
CE-ACO,STOC,Top 10,NA,ACM Symposium on Theory of Computing,63,A1,STOC
CE-RV,SUI,Top 10,NA,Symposium on Spatial User Interaction,18,A3,SUI
CE-RV,SVR,Top 10,25,Symposium on Virtual and Augmented Reality,15,A3,SVR
CE-ACO,SWAT,Eventos da Área,NA,Scandinavian Workshop on Algorithm Theory,11,A6,SWAT
CE-ES,SWQD,Eventos da Área,NA,Conference Software Quality Days,NA,A8,SWQD
CE-CM,SYSMUS,Eventos da Área,NA,International Conference of Students of Systematic Musicology,NA,A8,SYSMUS
CE-TF,SYSTOL,Top 20,NA,Conference on Control and Fault-Tolerant Systems,9,A5,SYSTOL
CE-Geoinformática,SeCoGIS,Top 20,NA,Workshop on Semantic and Conceptual Issues in Geographic Information Systems,NA,A6,SECOGIS
CE-JOGOS,SeGAH,Top 10,NA,IEEE International Conference on Serious Games and Applications for Health,NA,A5,SEGAH
CE-RESD,SenSys,Top 20,NA,ACM Conference on Embedded Network Sensor Systems,42,A1,SENSYS
CE-CCI,Sforum,Eventos da Área,NA,Microelectronics Student Forum,NA,A8,SFORUM
CE-RESD,SmartGridComm,Eventos da Área,NA,IEEE International Conference on Smart Grid Communications,NA,A8,SMARTGRIDCOMM
CE-ACO,SoCG,Top 20,NA,International Symposium on Computational Geometry,24,A3,SOCG
CE-SI,SoSE,Top 10,NA,IEEE International Conference on Systems of Systems Engineering,NA,A5,SOSE
CE-SI,SoWeMi,Eventos da Área,NA,International Workshop on Mining the Social Web,NA,A8,SOWEMI
CE-RESD,SoftCOM,Eventos da Área,NA,"International Conference on Software, Telecommunications and Computer Networks",NA,A8,SOFTCOM
CE-Geoinformática,SpatialBigData,Eventos da Área,NA,Spatial Big Data and Machine Learning in GIScience,NA,A8,SPATIALBIGDATA
CE-IHC,SustainIT,Eventos da Área,NA,Conference on Sustainable Internet and ICT for Sustainability,NA,A8,SUSTAINIT
CE-IE,T4E,Eventos da Área,NA,International conference on Technology 4 Education,NA,A8,T4E
GI-L,TABLEAUX,TOP 10,NA,International Conference on Automated Reasoning with Analytic Tableaux and Related Methods,NA,A5,TABLEAUX
CE-PLN,TAC,Top 20,NA,Text Analysis Conference,NA,A6,TAC
CE-MF,TACAS,Top 10,NA,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,0,NA,TACAS
CE-R,TAROS,Eventos da Área,NA,Conference Towards Autonomous Robotics Systems,15,A4,TAROS
CE-MF,TASE,Top 20,NA,Theoretical Aspects of Software Engineering,10,A5,TASE
CE-SEG,TCC,Top 20,NA,Theory of Cryptography,35,A1,TCC
CE-IE,TECH-EDU,Eventos da Área,NA,"International Conference on Technology and Innovation in Learning, Teaching and Education",NA,A8,TECH-EDU
CE-IHC,TEI,Top 20,NA,"International Conference on Tangible, Embedded and Embodied Interaction",31,A2,TEI
CE-CM,TIMBRE,Eventos da Área,NA,Interdisciplinary Workshop on Timbre,NA,A8,TIMBRE
CE-IE,TISE,Eventos da Área,NA,Congreso Internacional de Informática Educativa,NA,A8,TISE
CE-PLN,TREC,Eventos da Área,NA,Text Retrieval Conference,17,A4,TREC
CE-PLN,TSD,Top 20,NA,"International Conference on Text, Speech and Dialogue",18,A3,TSD
CE-IHC,TVX,Eventos da Área,NA,ACM International Conference on Interactive Experiences for TV and Online Video,NA,A8,TVX
CE-ES,TechDebt,Top 20,NA,International Conference on Technical Debt,NA,A6,TECHDEBT
CE-SEG,TrustCom,Top 20,NA,"International Conference on Trust, Security and Privacy in Computing and Communications",NA,A6,TRUSTCOM
CE-IHC,UAHCI,Eventos da Área,NA,International Conference Universal Access in Human-Computer Interaction,NA,A8,UAHCI
CE-IC,UAI,Top 20,NA,Conference on Uncertainty in Artificial Intelligence,56,A1,UAI
CE-CM,UBIMUS,Eventos da Área,NA,Workshop de Música Ubíqua,NA,A8,UBIMUS
CE-ACPAD,UCC,Eventos da Área,NA,IEEE/ACM International Conference on Utility and Cloud Computing,23,A3,UCC
CE-IHC,UIST,Top 10,NA,ACM User Interface Software Technology Symposium,53,A1,UIST
CE-IHC,UMAP,Eventos da Área,NA,"International Conference on User Modeling, Adaptation and Personalization",33,A2,UMAP
CE-R,UR,Eventos da Área,NA,International Conference on Ubiquitous Robots and Ambient Intelligence,0,NA,UR
CE-TF,USENIX,Eventos da Área,NA,USENIX Annual Technical Conference,NA,A8,USENIX
CE-SEG,USENIX Security,Top 10,NA,USENIX Security Symposium,116,A1,USENIX SECURITY
CE-RV,USIHC,Eventos da Área,NA,Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Computador,NA,A8,USIHC
CE-IHC,VECIMS/CIVEMSA,Eventos da Área,NA,IEEE International Conference on Virtual Environments Human-Computer Interfaces and Measurement Systems,14,A5,VECIMS/CIVEMSA
CE-LP,VEE,Top 20,NA,International Conference on Virtual Execution Environments,NA,A6,VEE
CE-ES,VEM,Top 20,11,"Workshop on Software Visualization, Evolution and Maintenance",NA,A5,VEM
CE-RV,VISAPP,Top 20,NA,International Conference on Computer Vision Theory and Applications,31,A2,VISAPP
CE-IHC,VISSOFT,Eventos da Área,NA,IEEE Working Conference on Software Visualization,NA,A8,VISSOFT
CE-IHC,VL/HCC,Eventos da Área,NA,IEEE Symposium on Visual Languages and Human-Centric Computing,NA,A8,VL/HCC
CE-BD,VLDB,Top 10,NA,International Conference on Very Large Data Bases,90,A1,VLDB
CE-ES,VLHCC,Eventos da Área,NA,IEEE Symposium on Visual Languages and Human-Centric Computing,19,A4,VLHCC
CE-CCI,VLSI-DAT,Eventos da Área,NA,"International Symposium on VLSI Design, Automation and Test",12,A5,VLSI-DAT
CE-CCI,VLSI-SOC,Top 10,NA,IEEE/IFIP International Conference on VLSI and System-on-Chip,14,A3,VLSI-SOC
CE-CCI,VLSID,Eventos da Área,NA,International Conference on VLSI Design,15,A4,VLSID
CE-RV,VMV,Eventos da Área,NA,"Vision, Modeling & Visualization",NA,A8,VMV
CE-RESD,VNC,Eventos da Área,NA,IEEE Vehicular Networking Conference,20,A3,VNC
CE-RV,VR,Top 10,NA,IEEE Virtual Reality Conference,52,A1,VR
CE-RV,VRCAI,Top 10,NA,International Conference on Virtual Reality Continuum and its Applications,16,A3,VRCAI
CE-RV,VRST,Top 10,NA,ACM Symposium on Virtual Reality Software and Technology,27,A2,VRST
CE-JOGOS,VS-Games,Top 20,NA,International Conference on Virtual Worlds and Games for Serious Applications,15,A3,VS-GAMES
CE-GRAPI,VTC,Eventos da Área,NA,Vehicular Technology Conference,46,A1,VTC
CE-CCI,VTS,Eventos da Área,NA,IEEE VLSI Test Symposium,18,A4,VTS
CE-ES,VaMoS,Top 20,NA,International Workshop on Variability Modelling of Software-intensive Systems,NA,A6,VAMOS
CE-JOGOS,Videojogos,Eventos da Área,NA,Conference on Videogame Sciences and Arts,NA,A8,VIDEOJOGOS
CE-IHC,W4A,Eventos da Área,NA,Conference on Web Accessibility,18,A4,W4A
CE-BioComp,WABI,Top 10,NA,Workshop on Algorithms in Bioinformatics,13,A3,WABI
CE-CM,WAC,Top 20,NA,Web Audio Conference,NA,A6,WAC
CE-GRAPI,WACV,Eventos da Área,NA,Workshop on Applications of Computer Vision,131,A1,WACV
CE-ACO,WADS,Top 20,NA,Algorithms and Data Structures Symposium,14,A4,WADS
CE-R,WAFR*,Top 20,NA,Workshop on the Algorithmic Foundations of Robotics,NA,A6,WAFR*
CE-IHC,WAIHCWS,Eventos da Área,14,Workshop sobre Aspectos da Interação Humano-Computador para a Web Social,NA,A5,WAIHCWS
CE-ACO,WALCOM,Eventos da Área,NA,International Workshop on Algorithms and Computation,11,A6,WALCOM
CE-ACO,WAOA,Eventos da Área,NA,Workshop on Approximation and Online Algorithms,NA,A8,WAOA
CE-SI,WASHES,Top 10,9,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software",NA,A5,WASHES
CE-CM,WASPAA,Top 10,NA,IEEE Workshop on Applications of Signal Processing to Audio and Acoustics,NA,A5,WASPAA
GI-L,WBL,Eventos da área,5,Workshop Brasileiro de Lógica,NA,A8,WBL
CE-ES,WBMA,Eventos da Área,NA,Workshop Brasileiro de Métodos Ágeis,NA,A8,WBMA
CE-SI,WCAMA,Eventos da Área,15,Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais,NA,A5,WCAMA
CE-CCI,WCAS,Eventos da Área,NA,Workshop on Circuits and Systems Design,NA,A8,WCAS
CE-IE,WCCE,Eventos da Área,NA,IFIP World Conference on Computers in Education,NA,A8,WCCE
CE-SI,WCGE,Eventos da Área,12,Workshop de Computação Aplicada ao Governo Eletrônico,NA,A5,WCGE
CE-ESC,WCNC,Eventos da Área,NA,IEEE Wireless Communications and Networking Conference,NA,A8,WCNC
CE-RESD,WCNCW,Eventos da Área,NA,IEEE Wireless Communications and Networking Conference Workshops,26,A2,WCNCW
CE-RESD,WD,Eventos da Área,NA,Wireless Days Conference,18,A4,WD
CE-ES,WDES,Eventos da Área,NA,"Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems",NA,A8,WDES
CE-BD,WEBIST,Top 20,NA,International Conference on Web Information Systems and Technologies,14,A4,WEBIST
CE-SI,WEBSCI,Eventos da Área,NA,ACM Web Science Conference,34,A2,WEBSCI
CE-EDUCOMP,WEI,TOP10,32,Workshop sobre Educação em Computação,11,A4,WEI
CE-IHC,WEIHC,Eventos da Área,13,Workshop sobre Educação em IHC,NA,A5,WEIHC
CE-ES,WER,Top 20,NA,Workshop on Requirements Engineering,7,A6,WER
CE-SI,WESAAC,Eventos da Área,NA,"Workshop-School on Agents, Environments, and Applications",NA,A8,WESAAC
CE-ACPAD,WETICE,Eventos da Área,NA,IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises,16,A4,WETICE
CE-ESC,WF-IoT,Top 20,NA,IEEE World Forum on Internet of Things,38,A1,WF-IOT
CE-ESC,WFCS,Eventos da Área,NA,IEEE World Conference on Factory Communication Systems,18,A4,WFCS
CE-ACO,WG,Top 10,NA,International Workshop on Graph-Theoretic Concepts in Computer Science,15,A3,WG
CE-R,WHC*,Eventos da Área,NA,Australasian Conference on Robotics and Automation,NA,A8,WHC*
CE-GRAPI,WHISPERS,Eventos da Área,NA,Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing,17,A4,WHISPERS
CE-ES,WICSA,Eventos da Área,NA,Working IEEE/IFIP Conference on Software Architecture,30,A2,WICSA
CE-IHC,WIDE,Eventos da Área,2,Workshop on Interactions with Human Experiences,NA,A8,WIDE
CE-IE,WIE,Top 10,28,Workshop de Informática na Escola,11,A4,WIE
CE-GRAPI,WIFS,Eventos da Área,NA,IEEE Workshop on Information Forensics and Security,22,A3,WIFS
CE-IHC,WIPLAY,Eventos da Área,NA,Workshop sobre Interação e Pesquisa de Usuários no Desenvolvimento de Jogos,NA,A8,WIPLAY
CE-WEBMEDIA,WISE,Top 20,NA,International Conference on Web Information Systems Engineering,18,A3,WISE
CE-SEG,WISEC,Eventos da Área,NA,ACM Conference on Security & Privacy in Wireless and Mobile Networks,NA,A8,WISEC
CE-RESD,WMNC,Eventos da Área,NA,Joint IFIP Wireless and Mobile Networking Conference,NA,A8,WMNC
CE-RESD,WOCC,Eventos da Área,NA,Wireless and Optical Communications Conference,18,A4,WOCC
CE-RESD,WONS,Eventos da Área,NA,Wireless On-demand Network systems and Services Conference,NA,A8,WONS
CE-SEG,WPES,Eventos da Área,NA,Annual ACM workshop on Privacy in the electronic society,NA,A8,WPES
CE-R,WRC,Eventos da Área,NA,World Robot Conference,NA,A8,WRC
CE-RV,WRVA,Eventos da Área,NA,Workshop de Realidade Virtual e Aumentada,NA,A8,WRVA
CE-RV,WSCG,Eventos da Área,NA,International Conference in Central Europe on Computer Graphics and Visualization and Computer Vision,NA,A8,WSCG
CE-IA,WSDM,Top 20,NA,ACM Conference International Conference on Web Search and Data Mining,86,A1,WSDM
CE-TF,WTF,Eventos da Área,25,Workshop de Testes e Tolerância a Falhas,NA,A4,WTF
CE-GRAPI,WVC,Top 20,NA,Workshop de Visão Computacional,NA,A6,WVC
CE-RESD,WWIC,Eventos da Área,NA,International Conference on Wired & Wireless Internet Communications,NA,A8,WWIC
CE-WEBMEDIA,WWW,Top 10,NA,International World Wide Web Conferences,120,A1,WWW
CE-RV,Web3D,Top 10,NA,International Conference on 3D Web Technology,NA,A5,WEB3D
CE-WEBMEDIA,Web4All,Top 20,NA,International Web for All Conference,NA,A6,WEB4ALL
CE-RESD,WiMob,Eventos da Área,NA,"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",NA,A8,WIMOB
CE-RESD,WiOpt,Eventos da Área,NA,"International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks",21,A3,WIOPT
CE-EDUCOMP,WiPCSE,TOP10,NA,Workshop in Primary and Secondary Computing Education,NA,A8,WIPCSE
CE-RESD,WoWMoM,Eventos da Área,NA,"International Symposium on a World of Wireless, Mobile and Multimedia Networks",NA,A8,WOWMOM
CE-ES,XP,Eventos da Área,NA,International Conference on Agile Software Development,26,A2,XP
CE-SI,ic-ETITE,Eventos da Área,NA,International Conference on Emerging Trends in Information Technology and Engineering,31,A2,IC-ETITE
CE-ACPAD,BIGDATA,Eventos da Área,NA,IEEE International Conference on Big Data,55,A1,NA
CE-ACPAD,CCGRID,Top 10,NA,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",30,A2,NA
CE-BD,CLOUDCOM,Eventos da Área,NA,IEEE International Conference on Cloud Computing Technology and Science,17,A4,NA
CE-BD,ESCIENCE,Top 10,NA,IEEE International Conference on e-Science,16,A3,NA
CE-BD,GEOINFO,Top 10,NA,Brazilian Symposium on GeoInformatics,NA,A5,NA
CE-BD,SOCC,Eventos da Área,NA,IEEE International System-on-Chip Conference,13,A5,NA
CE-EDUCOMP,ITICSE,Top 10,NA,Joint Conference on Innovation and Technology in Computer Science Education,38,A1,NA
CE-ES,CAISE,Top 10,NA,International Conference on Advanced Information Systems Engineering,27,A2,NA
CE-ESC,EUROSYS,Top 10,NA,European Conference on Computer Systems,52,A1,NA
CE-GRAPI,I3D,Top 10,NA,Symposium on Interactive 3D Graphics and Games,NA,A5,NA
CE-IA,UBICOMP,Top 20,NA,ACM International Joint Conference on Pervasive and Ubiquitous Computing,29,A2,NA
CE-IE,EDUCOMP,Top 10,4,Simpósio Brasileiro de Educação em Computação,11,A4,NA
CE-IHC,ASSETS,Top 10,NA,International ACM Conference on Assistive Technologies (Assets),36,A1,NA
CE-IHC,MMSYS,Top 10,NA,ACM Multimedia Systems Conference,33,A2,NA
CE-IHC,WEBMEDIA,Top 10,29,Brazilian Symposium on Multimedia and the Web,13,A3,NA
CE-PLN,BRASNAM,Top 20,13,Brazilian Workshop on Social Network Analysis and Mining,8,A5,NA
CE-PLN,CICLING,Eventos da Área,NA,International Conference on Intelligent Text Processing and Computational Linguistics,NA,A8,NA
CE-RESD,BLOCKCHAIN,Eventos da Área,NA,IEEE International Conference on Blockchain,42,A1,NA
CE-RESD,HEALTHCOM,Top 10,NA,"IEEE International Conference on E-health Networking, Application & Services",10,A4,NA
CE-RV,EUROHAPTICS,Top 20,NA,Eurohaptics,NA,A6,NA
CE-SEG,SAFECOMP,Top 10,NA,"International Conference on Computer Safety, Reliability, and Security",23,A3,NA
CE-SI,SOCIALCOM,Eventos da Área,NA,International Conference on Social Computing,8,A7,NA
CE-TF,MIDDLEWARE,Top 10,NA,International Middleware Conference,24,A3,NA
GI-L,WOLLIC,Top 10,NA,"Workshop on Logic, Language, Information and Computation",NA,A5,NA
