CE,sigla,top,edicoes,nome,h5,NIVEL,sigla2
CE-IA,LA-CCI,Eventos da Área,NA,Latin American Conference on Computational Intelligence,12,A5,LA-CCI
CE-IHC,LA-WEB,Eventos da Área,NA,Latin American Web Congress,NA,A8,LA-WEB
CE-CM,LAC,Top 20,NA,Linux Audio Conference,NA,A6,LAC
CE-IE,LACLO,Top 20,NA,Latin American Conference on Learning Objects and Technologies,10,A5,LACLO
CE-TF,LADC,Top 20,12,Latin-American Symposium on Dependable Computing,7,A5,LADC
CE-Geoinformática,LAGIRS,Top 20,NA,IEEE Latin American GRSS & ISPRS Remote Sensing Conference,NA,A6,LAGIRS
CE-ACO,LAGOS,Eventos da Área,NA,"Latin-American Algorithms, Graphs and Optimization Symposium",NA,A8,LAGOS
CE-IE,LAK,Top 10,NA,International Learning Analytics and Knowledge Conference,46,A1,LAK
CE-RESD,LANC,Eventos da Área,NA,Latin American Networking Conference,NA,A8,LANC
CE-RESD,LANMAN,Eventos da Área,NA,IEEE International Symposium on Local and Metropolitan Area Networks,NA,A8,LANMAN
CE-RESD,LANOMS,Eventos da Área,NA,Latin American Network Operations and Management Symposium,NA,A8,LANOMS
CE-GRAPI,LARS,Eventos da Área,19,IEEE Latin American Robotics Symposium,NA,A5,LARS
CE-CCI,LASCAS,Top 10,NA,IEEE Latin American Symposium on Circuits and Systems,15,A3,LASCAS
CE-ACO,LATIN,Top 10,NA,Latin American Theoretical Informatics Symposium,15,A3,LATIN
CE-RESD,LATINCLOUD,Eventos da Área,NA,IEEE Latin America Conference on Cloud Computing and Communications,NA,A8,LATINCLOUD
CE-RESD,LATINCOM,Eventos da Área,NA,IEEE Latin-American Conference on Communications,12,A5,LATINCOM
CE-SEG,LATINCRYPT,Eventos da Área,NA,International Conference on Cryptology and Information Security in Latin America,NA,A8,LATINCRYPT
CE-CCI,LATS,Top 20,NA,IEEE Latin American Test Symposium,12,A4,LATS
CE-PLN,LAW,Top 20,NA,Linguistic Annotation Workshop,NA,A6,LAW
CE-ACO,LAWCG,Eventos da Área,NA,Latin American Workshop on Cliques in Graphs,NA,A8,LAWCG
CE-RESD,LCN,Eventos da Área,NA,IEEE Conference on Local Computer Networks,23,A3,LCN
CE-LP,LCTES,Top 20,NA,"ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Embedded Systems",NA,A6,LCTES
CE-ESC,LCTRTS,Eventos da Área,NA,"ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Real-Time Systems",NA,A8,LCTRTS
CE-RV,LDAV,Top 20,NA,IEEE Symposium on Large Data Analysis and Visualization,NA,A6,LDAV
GI-L,LICS,TOP 10,NA,ACM/IEEE Symposium on Logic in Computer Science,32,A2,LICS
GI-L,LMCS,TOP 20,NA,Logical Methods in Computer Science,28,A2,LMCS
CE-PLN,LREC,Top 10,NA,International Conference on Language Resources and Evaluation,68,A1,LREC
GI-L,LSFA,TOP 10,NA,"International Workshop on Logical and Semantic Frameworks, with Applications",NA,A5,LSFA
CE-ES,Latinoware,Eventos da Área,NA,Congresso Latino-Americano de Software Livre e Tecnologias Abertas,NA,A8,LATINOWARE
CE-Geoinformática,LoPaS,Eventos da Área,NA,Location Privacy and Security Workshop,NA,A8,LOPAS
CE-Geoinformática,LocWeb,Top 20,NA,International Workshop on Location and the Web,NA,A6,LOCWEB
CE-Geoinformática,LocalRec,Eventos da Área,NA,"International Workshop on Location-Based Recommendations, Geosocial Networks and Geoadvertising",NA,A8,LOCALREC
CE-RESD,MASCOTS,Eventos da Área,NA,"International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",16,A4,MASCOTS
CE-RESD,MASS,Eventos da Área,NA,IEEE International Conference on Mobile Adhoc and Sensor Systems,21,A3,MASS
CE-CM,MCM,Eventos da Área,NA,International Conference on Mathematics and Computation in Music,NA,A8,MCM
CE-ACPAD,MCSoC,Eventos da Área,NA,International Symposium on Embedded Multicore/Many-core Systems-on-Chip,11,A6,MCSOC
CE-BD,MDM,Eventos da Área,NA,IEEE International Conference on Mobile Data Management,19,A4,MDM
CE-R,MED,Eventos da Área,NA,Mediterranean Conference on Control and Automation,19,A4,MED
CE-SI,MEDES,Eventos da Área,NA,International Conference on Management of Emergent Digital EcoSystems,13,A5,MEDES
CE-CAS,MEDINFO,Top 10,NA,World Congress on Medical and Health Informatics,35,A1,MEDINFO
CE-RESD,MEDITCOM,Eventos da Área,NA,IEEE International Mediterranean Conference on Communications and Networking,15,A4,MEDITCOM
CE-ESC,MESA,Eventos da Área,NA,IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications,9,A6,MESA
CE-ACO,MFCS,Top 20,NA,International Symposium on Mathematical Foundations of Computer Science,20,A3,MFCS
CE-R,MFI*,Eventos da Área,NA,IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems,NA,A8,MFI*
CE-IA,MICAI,Eventos da Área,NA,Mexican International Conference on Artificial Intelligence,13,A5,MICAI
